company,robot_model,deployment_partner_site,sector,country,first_public_evidence_date,first_evidence_url,source_quality_tier,current_stage,stage_evidence,fleet_size,tasks,hours_throughput_claims,human_oversight,outcome_6mo,outcome_12mo,outcome_18mo,notes_conflicts,record_id,paid_commitment_verified,on_site_verified,partner_confirmed,delivery_verified,continued_beyond_evaluation,conversion_tier,related_party,related_party_type,internal_maker_use,pilot_demo_date,pilot_demo_evidence_url,commitment_date,commitment_evidence_url,operational_evidence_source,last_affirmative_report_date
Apptronik,Apollo,GXO Logistics (undisclosed tech customer site),Contract logistics,USA,2024-06-20,https://gxo.com/news_article/gxo-announces-multi-phase-r-and-d-initiative-with-apptronik/,press_release,testing,2024-06-20 GXO multi-phase R&D initiative (GXO PR; globenewswire; therobotreport); 2025-04-08 Business Insider: pilot still in scoping phase with undisclosed tech customer; 2026-07 reported deployed at a GXO warehouse (robotwale.com - low tier),,,,,Pilot design phase,Pilot underway (undisclosed customer),Reported on-site deployment (low-tier source),"R&D initiative, not a paid deployment agreement (contrast with Agility-GXO RaaS)",HPR-011,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Apptronik,Apollo,Jabil manufacturing operations,Electronics manufacturing services,USA,2025-02-25,https://investors.jabil.com/news/news-details/2025/Apptronik-and-Jabil-Collaborate-to-Scale-Production-of-Apollo-Humanoid-Robots-and-Deploy-in-Manufacturing-Operations/default.aspx,press_release,announced,2025-02-25 Jabil-Apptronik collaboration to build Apollo and deploy it in Jabil manufacturing ops (Jabil investors PR; businesswire); Apollo robots to build Apollo robots on assembly lines,,Manufacturing/assembly support tasks,,,,,,Dual role: Jabil is contract manufacturer for Apollo AND planned deployment site. No on-site deployment evidence found as of Sep 2026,HPR-012,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Tesla,Optimus (Gen 2/3),Tesla Fremont factory (internal),Automotive manufacturing,USA (California),2026-09-07,https://electrek.co/2026/09/07/xpeng-iron-humanoid-robot-production-line/,independent_reporting,testing,"2024-2025: Musk repeatedly claimed Optimus would do factory work (Reuters 2025-03-18 notes unfulfilled 2024 claims); 2026-01 Musk admitted no Optimus units doing useful work yet (per electrek 2026-09-07); 2026-07 Optimus production at Fremont begins, output 'quite slow' (electrek; tesorb - low tier); 2026-09 supply chain orders for ~5,000 units (zerogantry - low tier)",,,,,,,,Internal use only - no external customer to convert. Musk's public timelines have repeatedly slipped; treat all Tesla claims as vendor claims. Electrek headline: 'Tesla Optimus stalls',HPR-013,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,TRUE,,,,,,
Unitree,G1,Asahi Kasei Moriyama Works (Production Technology Development Center),Chemicals / R&D,Japan (Shiga),2026-07-01,https://ai-robotics.gmo/en/news/article/asahi-kasei-poc/,partner_statement,testing,2026-02 PoC conducted at Asahi Kasei Moriyama Works with GMO AI & Robotics (GMO AIR case article 2026-07-01),1,Transport of experimental film carrier (~0.8kg) to reduce chemical-bath splash hazard,,On-site operating engineer tuning robot (per source photos),PoC completed Feb 2026,,,Deliberately structured as PoC (rental model) because customer worried about single-task ROI ceiling and model obsolescence - documented in source,HPR-014,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Unitree,G1/H1,Unitree own factory (robots manufacturing robot parts),Robot manufacturing,China,2026-02-13,https://www.humanoidsdaily.com/news/unitree-deploys-g1-humanoids-to-manufacture-robot-parts,independent_reporting,testing,2026-02 video of G1 humanoids used in Unitree's own production (humanoidsdaily; interestingengineering 2026-02-16); IBTimes 2026-09-15 on China's robot-builds-robot trend,,Robot part assembly/handling,,,,,,Internal use; low-mid tier sources only; no external paying industrial customer verified for G1/H1 as of Sep 2026,HPR-015,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,TRUE,,,,,,
1X Technologies,EVE / NEO,"EQT portfolio companies (300+ companies, logistics/warehousing/manufacturing)",Multiple (PE portfolio),USA / Europe / Asia,2025-12-11,https://www.businesswire.com/news/home/20251211360340/en/1X-Announces-Strategic-Partnership-to-Make-up-to-10000-Humanoid-Robots-Available-to-EQTs-Global-Portfolio,press_release,announced,"2025-12-11 strategic partnership: up to 10,000 humanoids across EQT portfolio 2026-2030 (Business Wire; Bloomberg; TechCrunch; Axios; Robot Report); US pilots planned for 2026","Up to 10,000 (intention, not commitment)","Logistics, facility ops, warehousing, manufacturing, healthcare",,,,,,Framework agreement only; each portfolio company decides implementation. EQT is a 1X investor (EQT Ventures) - independence caveat. Earlier EVE security/patrol pilots (2023-24) predate scope window,HPR-016,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,investment (EQT Ventures investor in 1X Technologies),FALSE,,,,,,
Sanctuary AI,Phoenix (pre-6th gen),"Mark's retail store, Langley BC (Canadian Tire Corp)",Retail,Canada (British Columbia),2023-03-07,https://sanctuary.ai/news/sanctuary-ai-deploys-first-humanoid-general-purpose-robot-commercially/,press_release,discontinued_stalled,2023-01 week-long in-store pilot (per Sanctuary PR 2023-03-07); The Register 2023-03-08 and Betakit 2023-03-10 independent coverage; no follow-on deployment at Mark's/CTC reported,1,"110 retail tasks: picking/packing, cleaning, tagging, labelling, folding",110 tasks completed correctly in 1 week (vendor claim),Human-in-the-loop/teleop per Kindred heritage (later Magna reporting),Pilot completed; no conversion,No continuation at CTC reported,,"Billed as 'first commercial deployment' (Mar 2023) - earlier than GXO/Agility's 'first formal commercial deployment' (Jun 2024); 'first' claims conflict. Retail, not manufacturing/logistics core scope",HPR-017,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Sanctuary AI,Phoenix,Magna International manufacturing facilities,Automotive components manufacturing,Canada (Ontario),2024-04-11,https://techcrunch.com/2024/04/11/european-car-manufacturer-will-pilot-sanctuary-ais-humanoid-robot/,independent_reporting,pilot_on_site,2024-04-11 strategic relationship + pilots at Magna (TechCrunch; The Logic; therobotreport 2024-04-12); Magna also investor + future contract manufacturer; 2026 Phoenix at Toronto Magna site (registry.deploy.report/deployments/sanctuary-phoenix-magna-canada); 2026-03 new tasks learned in 24h at Magna plants (originofbots - low tier),,Specific manufacturing tasks (data collection focus); plan: production runs of Phoenix deployed at Magna for learning,,"Human in the loop for edge cases planned (Geordie Rose, Robot Report 2024-04)",Pilot deployments underway at Magna facilities,,Expanded footprint in automotive (Sanctuary PR); Toronto site active 2026,Magna = investor + manufacturer + customer (three-way entanglement noted by CEO). Paid status unclear; framed as data-collection deployments,HPR-018,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,TRUE,investment (Magna investor in Sanctuary AI),FALSE,2024-04-11,https://techcrunch.com/2024/04/11/european-car-manufacturer-will-pilot-sanctuary-ais-humanoid-robot/,,,unverified,
UBTECH,Walker S1,ZEEKR 5G Intelligent Factory (Ningbo),EV manufacturing,China (Zhejiang),2025-03-03,https://www.prnewswire.com/news-releases/unleashing-swarm-intelligence-ubtech-pioneers-the-worlds-first-multi-humanoid-robot-collaborative-training-in-multi-task-multi-scenario-settings-at-zeekr-302389823.html,press_release,pilot_on_site,2025-03-03 UBTECH announces 'world's first' multi-humanoid collaborative practical training at Zeekr factory (PRNewswire vendor release); People's Daily/ecns coverage 2025-04/05 (state media); Walker S1 at Zeekr per registry (registry.deploy.report/deployments/ubtech-walker-s1-zeekr-ningbo),Dozens of Walker S1 (vendor claim),"Collaborative sorting, handling, precision assembly, quality inspection (final assembly, SPS, inspection areas)",,,,,,'Practical training 2.0' is vendor stage language; unclear if Zeekr pays. Chinese state-media coverage amplifies vendor claims - tier accordingly,HPR-019,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
UBTECH,Walker S1,Audi FAW NEV plant (Changchun),Automotive manufacturing,China (Jilin),2025-03-26,https://autonews.gasgoo.com/articles/news/audi-faw-nev-introduces-ubitechs-humanoid-robot-in-changchun-plant-70036523,independent_reporting,pilot_on_site,2025-03-26 Audi FAW NEV introduces Walker S1 at Changchun plant (Gasgoo; interestingengineering 2025-03-28),,Production-line introduction/testing,,,,,,First foreign-brand plant in China reported using Walker S1,HPR-020,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
UBTECH,Walker S / S2,BYD assembly plants,EV manufacturing,China,2025-04-29,http://en.people.cn/n3/2025/0429/c90000-20309191.html,independent_reporting,pilot_on_site,2025-03 UBTECH lists BYD among industrial partners (PRNewswire Zeekr release); 2025-04-29 People's Daily 'humanoid robots clock in for work'; 2025-11 Walker S2 at BYD assembly plant (registry.deploy.report/deployments/ubtech-walker-s2-byd-assembly-china),,Factory training/assistance tasks,,,,,,Partner-specific detail thin; most BYD-specific evidence is vendor or state media,HPR-021,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
UBTECH,Walker S,Foxconn smart factories (iPhone manufacturing),Electronics manufacturing,China,2025-01-15,https://www.scmp.com/tech/big-tech/article/3294903/chinese-robotics-maker-ubtech-aims-revolutionise-apple-supplier-foxconns-manufacturing,independent_reporting,pilot_on_site,2025-01-15 Foxconn-UBTECH strategic alliance (SCMP; Global Times 2025-01-15; roboticsandautomationnews 2025-01-16); humanoid training for iPhone manufacturing; 2025-11 blockchain.news (low tier) claims hundreds of S2 at BYD and Foxconn,,Factory training; assembly assistance,,,,,,Long-term partnership framing; per-site fleet and payment undisclosed,HPR-022,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
UBTECH,Walker S2,Multiple industrial customers (batch delivery),Automotive / smart factory / logistics,China,2025-11-17,https://www.prnewswire.com/news-releases/ubtech-humanoid-robot-walker-s2-begins-mass-production-and-delivery-with-orders-exceeding-800-million-yuan-302616924.html,press_release,scaled_fleet,"2025-11-17 UBTECH begins mass production and delivery of first batch of several hundred Walker S2; orders exceed 800M yuan (~$112M); 500-unit delivery target for 2025; 5,000/yr capacity target 2026 (PRNewswire vendor release)","Several hundred (first batch, vendor claim); orders >800M yuan (Walker-series cumulative since early 2025, per vendor release)","Automotive manufacturing, smart factories, intelligent logistics, data collection centers",,Co-Agent system for autonomous anomaly handling (vendor claim),,First mass delivery batch (vendor claim),,"Strongest 'scaled' claim in dataset but entirely vendor-sourced; no independent verification of per-customer fleet sizes or retention; largest named orders (Zigong 159M yuan, Fangchenggang 264M yuan) are government data-collection/border deployments, not factory lines",HPR-023,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Hexagon Robotics,AEON (wheeled humanoid),BMW Group Plant Leipzig,Automotive manufacturing,Germany (Saxony),2026-02-27,https://robotics.hexagon.com/bmw-deploys-aeon-hexagon-robotics-humanoid/,partner_statement,pilot_on_site,2026-02-27 BMW deploys AEON in production sites (Hexagon PR; automotivemanufacturingsolutions); 2026-03-09 BMW 'first humanoid robot introduced in Plant Leipzig' (bmwgroup.com); 2026-03-02 Robot Report on pilot; 2026-06-12 Hexagon 'new milestone' industrial deployment (robotics.hexagon.com); summer 2026 integration (thefilament.news),,Battery module assembly support; material delivery to line; repetitive tasks,,,Pilot project launched at Leipzig,"Milestone deployment confirmed (Hexagon, Jun 2026)",,"BMW calls Hexagon a 'long-standing, established partner' - language notably absent for Figure (thefilament.news). BMW: 'first company to deploy humanoid robots in production in Germany' (verbatim BMW framing)",HPR-024,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Humanoid (UK),HMND 01 Alpha (wheeled),"Siemens electronics factory, Erlangen",Electronics manufacturing,Germany (Bavaria),2026-01-16,https://www.robotics247.com/article/humanoid-siemens-complete-proof-of-concept-to-test-humanoid-robots-in-industrial-logistics,partner_statement,pilot_on_site,2026-01-16 PoC completed in industrial logistics (robotics247); 2026-04-16 Siemens press release: HMND 01 Alpha tested in live operations at Erlangen with NVIDIA stack (press.siemens.com); 2026-04-20 TNW: passed 8-hour factory shift,1,"Autonomous tote handling: picking, transporting, placing containers for human operators",60 tote moves/hour; uptime >8 hours; pick-and-place success >90% (Siemens press release),Operated alongside human operators,PoC completed,Live-operations test with quantified KPIs (Apr 2026),,Quantitative KPIs from a jointly issued Siemens+Humanoid release (Siemens press channel) - partner-channel rather than vendor-only,HPR-025,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Humanoid (UK),HMND 01,Schaeffler (Schweinfurt),Automotive components manufacturing,Germany (Bavaria),2026-05-14,https://www.uktech.news/ai/humanoid-signs-deal-with-schaeffler-to-deploy-thousands-of-human-like-robots-20260514,independent_reporting,announced,Schaeffler-Humanoid strategic technology partnership (schaeffler-engineering.com PR); 2026-05-14 deal to deploy thousands of humanoids over coming years (UKTN); HMND 01 Alpha at Schweinfurt (registry.deploy.report 2026-05-14),Thousands (multi-year intent),,,,,,,Schaeffler now partnered with BOTH Agility (Digit) and Humanoid (HMND 01) - diversification pattern worth noting in paper,HPR-026,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
NEURA Robotics,4NE-1,Bosch (industrial pilot),Industrial manufacturing,Germany,2026-01-16,https://www.therobotreport.com/neura-robotics-partners-bosch-advance-german-made-robotics/,independent_reporting,pilot_on_site,Robot Report (2026-02-19) lists 4NE-1 in commercial trial at Bosch; 2026-01 4NE-1 industrial logistics demo with SAP and Bitzer (inspenet.com - low tier); 4NE-1 listed price $65k (registry.deploy.report - aggregator),,Logistics tasks (SAP-integrated demo),,,,,,"Thin public evidence; Bosch relationship also has investor context. Verify before citing in paper v1.1 fix: first-evidence URL/date corrected to the NEURA-Bosch partnership report (The Robot Report, 2026-01-16); prior URL pointed at an unrelated TMMC article.",HPR-027,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
Persona AI,Persona humanoid (welding platform),HD Hyundai shipyards,Shipbuilding,South Korea,2025-05-07,https://www.prnewswire.com/news-releases/hd-hyundai-and-persona-ai-sign-agreement-to-deploy-humanoid-welding-robots-for-shipbuilding-automation-302449282.html,press_release,pilot_on_site,2025-05-07 agreement to deploy humanoid welding robots for shipbuilding (PRNewswire); 2026-07-08 first untethered humanoid weld in real industrial environment (persona.ai); 2026-08-17 IEEE Spectrum deep-dive on welding economics; 2026-08-17 deployment for shipyard welding in Texas reported (roboticsintl.com),,Long linear welds in shipbuilding (tool use with human tools),,Two human supervisors visible in IEEE Spectrum photo; skilled-trade focus,Welding skill development,First untethered weld (Jul 2026),,Targets skilled labor (welders) not unskilled tote-moving - distinct thesis per IEEE Spectrum. Customers want 'hundreds' of robots per location (Radford),HPR-028,FALSE,FALSE,FALSE,FALSE,FALSE,not_applicable,FALSE,,FALSE,,,,,,
